,time,car_n 1,car_v_mean 1,truck_n 1,truck_v_mean 1,Y
149,day1 12:25,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
150,day1 12:30,0.0,0.0,1.0,17.77,1.0-18.83-0.0-0.0
151,day1 12:35,1.0,21.99,0.0,0.0,0.0-0.0-0.0-0.0
152,day1 12:40,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
153,day1 12:45,0.0,0.0,0.0,0.0,1.0-21.37-0.0-0.0
154,day1 12:50,2.0,19.48,0.0,0.0,1.0-20.91-0.0-0.0
155,day1 12:55,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
156,day1 13:0,0.0,0.0,0.0,0.0,2.0-22.74-0.0-0.0
157,day1 13:5,2.0,19.66,0.0,0.0,1.0-21.24-0.0-0.0
158,day1 13:10,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
159,day1 13:15,0.0,0.0,0.0,0.0,1.0-25.69-0.0-0.0
160,day1 13:20,1.0,20.93,0.0,0.0,0.0-0.0-0.0-0.0
161,day1 13:25,0.0,0.0,0.0,0.0,1.0-22.02-0.0-0.0
162,day1 13:30,0.0,0.0,1.0,16.6,2.0-23.27-0.0-0.0
163,day1 13:35,1.0,21.03,0.0,0.0,0.0-0.0-0.0-0.0
164,day1 13:40,0.0,0.0,1.0,18.0,0.0-0.0-0.0-0.0
165,day1 13:45,1.0,16.85,0.0,0.0,2.0-21.51-0.0-0.0
166,day1 13:50,2.0,28.87,0.0,0.0,1.0-27.88-0.0-0.0
167,day1 13:55,1.0,18.05,0.0,0.0,0.0-0.0-0.0-0.0
168,day1 14:0,1.0,17.75,0.0,0.0,2.0-21.51-0.0-0.0
169,day1 14:5,1.0,20.19,0.0,0.0,1.0-28.34-0.0-0.0
170,day1 14:10,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
171,day1 14:15,0.0,0.0,0.0,0.0,1.0-22.36-0.0-0.0
172,day1 14:20,1.0,18.25,0.0,0.0,1.0-20.74-0.0-0.0
173,day1 14:25,1.0,28.97,0.0,0.0,0.0-0.0-0.0-0.0
174,day1 14:30,0.0,0.0,0.0,0.0,1.0-22.65-0.0-0.0
175,day1 14:35,0.0,0.0,0.0,0.0,1.0-18.04-0.0-0.0
176,day1 14:40,0.0,0.0,0.0,0.0,1.0-22.63-0.0-0.0
177,day1 14:45,2.0,22.76,0.0,0.0,0.0-0.0-0.0-0.0
178,day1 14:50,0.0,0.0,0.0,0.0,1.0-16.96-0.0-0.0
179,day1 14:55,0.0,0.0,0.0,0.0,1.0-22.69-0.0-0.0
180,day1 15:0,3.0,23.85,0.0,0.0,0.0-0.0-0.0-0.0
181,day1 15:5,0.0,0.0,0.0,0.0,1.0-16.88-0.0-0.0
182,day1 15:10,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
183,day1 15:15,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
184,day1 15:20,0.0,0.0,0.0,0.0,2.0-18.63-0.0-0.0
185,day1 15:25,1.0,34.33,0.0,0.0,0.0-0.0-0.0-0.0
186,day1 15:30,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
187,day1 15:35,0.0,0.0,0.0,0.0,1.0-21.28-0.0-0.0
188,day1 15:40,0.0,0.0,1.0,17.74,1.0-19.69-0.0-0.0
189,day1 15:45,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
190,day1 15:50,1.0,28.81,0.0,0.0,1.0-21.47-0.0-0.0
191,day1 15:55,0.0,0.0,0.0,0.0,1.0-20.75-0.0-0.0
192,day1 16:0,1.0,17.71,0.0,0.0,0.0-0.0-0.0-0.0
193,day1 16:5,1.0,41.97,0.0,0.0,1.0-21.56-0.0-0.0
194,day1 16:10,0.0,0.0,0.0,0.0,0.0-0.0-1.0-17.01
195,day1 16:15,1.0,17.54,0.0,0.0,1.0-21.97-0.0-0.0
196,day1 16:20,1.0,31.23,0.0,0.0,0.0-0.0-0.0-0.0
197,day1 16:25,1.0,34.51,0.0,0.0,1.0-30.33-0.0-0.0
198,day1 16:30,1.0,17.36,0.0,0.0,1.0-15.58-0.0-0.0
199,day1 16:35,1.0,29.57,0.0,0.0,1.0-22.66-0.0-0.0
200,day1 16:40,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
201,day1 16:45,1.0,17.28,0.0,0.0,1.0-16.58-0.0-0.0
202,day1 16:50,1.0,33.23,0.0,0.0,0.0-0.0-0.0-0.0
203,day1 16:55,1.0,26.6,0.0,0.0,2.0-17.14-0.0-0.0
204,day1 17:0,1.0,17.8,0.0,0.0,0.0-0.0-0.0-0.0
205,day1 17:5,1.0,29.77,0.0,0.0,0.0-0.0-0.0-0.0
206,day1 17:10,0.0,0.0,0.0,0.0,1.0-17.32-0.0-0.0
207,day1 17:15,2.0,27.08,0.0,0.0,1.0-16.24-1.0-18.0
208,day1 17:20,0.0,0.0,0.0,0.0,0.0-0.0-1.0-14.91
209,day1 17:25,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
210,day1 17:30,1.0,17.81,0.0,0.0,2.0-15.23-0.0-0.0
211,day1 17:35,0.0,0.0,0.0,0.0,1.0-18.0-0.0-0.0
212,day1 17:40,1.0,42.83,0.0,0.0,0.0-0.0-0.0-0.0
213,day1 17:45,1.0,17.64,0.0,0.0,2.0-12.36-0.0-0.0
214,day1 17:50,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
215,day1 17:55,1.0,38.88,0.0,0.0,0.0-0.0-0.0-0.0
216,day1 18:0,2.0,31.22,0.0,0.0,1.0-10.4-0.0-0.0
217,day1 18:5,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
218,day1 18:10,1.0,32.23,0.0,0.0,1.0-10.53-0.0-0.0
219,day1 18:15,2.0,28.19,0.0,0.0,0.0-0.0-0.0-0.0
220,day1 18:20,0.0,0.0,0.0,0.0,1.0-13.54-0.0-0.0
221,day1 18:25,2.0,25.84,0.0,0.0,1.0-10.36-0.0-0.0
222,day1 18:30,0.0,0.0,0.0,0.0,1.0-14.41-0.0-0.0
223,day1 18:35,0.0,0.0,0.0,0.0,1.0-14.11-0.0-0.0
224,day1 18:40,1.0,29.02,0.0,0.0,1.0-11.06-0.0-0.0
